Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ERI,Eldorado Resorts; Inc.,28.65,2196784791,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
ESIO,Electro Scientific Industries; Inc.,22.74,753528216.9,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EA,Electronic Arts Inc.,112.74,34715515571,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,Electronics for Imaging; Inc.,30.63,1420562520,n/a,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELSE,Electro-Sensors; Inc.,3.76,12767158.96,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
ELEC,Electrum Special Acquisition Corporation,10.24,184627937.3,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elec
ELECU,Electrum Special Acquisition Corporation,10.63,191659665.4,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecu
ELECW,Electrum Special Acquisition Corporation,0.376,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecw
EBIO,Eleven Biotherapeutics; Inc.,0.6768,16717464.89,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
DWAC,Elkhorn Commodity Rotation Strategy ETF,24.8932,2489369.786,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwac
ESBK,Elmira Savings Bank NY (The),20.4499,56358492.91,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
ELTK,Eltek Ltd.,0.66,6694222.92,n/a,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMCI,EMC Insurance Group Inc.,29.77,635591137.4,n/a,1982,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
EMCF,Emclaire Financial Corp,30.1521,68276083.57,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMKR,EMCORE Corporation,7.4,198905784,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
RNEM,Emerging Markets Equity Select ETF,52.82,5282105.64,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rnem
EMMS,Emmis Communications Corporation,3.48,44233653.6,n/a,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
NYNY,Empire Resorts; Inc.,22.1,689028142.4,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
ENTA,Enanta Pharmaceuticals; Inc.,47.97,915765672.5,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
ECPG,Encore Capital Group Inc,48.95,1260241491,n/a,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
WIRE,Encore Wire Corporation,44.9,931990691.9,n/a,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
ENDP,Endo International plc,6.925,1546297571,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
ECYT,Endocyte; Inc.,5.325,254851203.8,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
ELGX,Endologix; Inc.,5.07,423013705.9,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
NDRA,ENDRA Life Sciences Inc.,2.3,8986162.1,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ndra
NDRAW,ENDRA Life Sciences Inc.,0.5,0,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ndraw
EIGI,Endurance International Group Holdings; Inc.,7.85,1126406611,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,Energous Corporation,9.42,206297444.2,n/a,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
EFOI,Energy Focus; Inc.,2.91,34498565.07,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
EHR,Energy Hunter Resources; Inc.,n/a,0,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ehr
ERII,Energy Recovery; Inc.,9.47,507544981.5,n/a,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
